kogudus,auskoht,aasta,liikmeid_kokku,keskmiselt_vottis_jumala_teenistustest_osa,ristiti,maeti,laulatati,abielu_registreeriti,noorte_toos_osales,lastetoos_osales,annetaja_liikmeid_oli_kokku,praostkond,tulud_kokku,liikmeannetused_eur,korjandused_eur,ametitalitused_eur,avaliku_sektori_toetused_kokku_eur,tulu_kinnisvarast_eur,valisannetused_ja_toetused_kokku_eur,kulud_kokku_eur
Jõelähtme Püha Neitsi Maarja Kogudus,vald115,2017,800,20,6,17,1,0,0,0,119,Ida-Harju,126 583 €,8 922 €,13 505 €,2 830 €,12 975 €,3 087 €, 176 €,135 440 €
Jõelähtme Püha Neitsi Maarja Kogudus,vald116,2018,800,18,5,37,1,1,0,0,115,Ida-Harju,114 562 €,9 295 €,9 609 €,2 897 €,10 000 €,3 325 €, 268 €,88 835 €
Jõelähtme Püha Neitsi Maarja Kogudus,vald117,2019,800,17,9,21,2,1,0,0,121,Ida-Harju,40 708 €,9 904 €,11 288 €,4 128 €,10 000 €,3 065 €, 318 €,41 739 €
Jõelähtme Püha Neitsi Maarja Kogudus,vald118,2020,800,8,7,14,1,1,0,0,120,Ida-Harju,40 167 €,12 408 €,1 705 €,1 274 €,12 465 €,2 920 €, 271 €,71 337 €
Jõgeva Kogudus,vald119,2017,300,24.72,1,2,0,0,0,0,38,Tartu,13 566 €,2 070 €, 954 €, 118 €, 250 €, 140 €,1 687 €,8 827 €
Jõgeva Kogudus,vald120,2018,300,22,0,2,0,0,0,0,35,Tartu,3 893 €,2 060 €, 420 €, 200 €, 0 €, 150 €,1 063 €,8 230 €
Jõgeva Kogudus,vald121,2019,44,26.82,3,3,0,0,0,0,44,Tartu,19 745 €,4 705 €,1 230 €, 40 €,4 160 €, 250 €,4 425 €,17 983 €
Jõgeva Kogudus,vald122,2020,170,23.89,1,0,0,0,0,0,55,Tartu,23 858 €,4 605 €,3 290 €, 70 €,12 085 €, 550 €, 868 €,19 941 €
Jõhvi Mihkli Kogudus,vald123,2017,2100,18,26,18,4,5,0,30,205,Viru,139 835 €,10 539 €,2 854 €,1 594 €, 450 €,75 557 €,1 134 €,140 438 €
Jõhvi Mihkli Kogudus,vald124,2018,2090,17,7,23,1,1,0,64,201,Viru,122 943 €,11 487 €,2 610 €,2 230 €, 450 €,84 906 €,1 063 €,123 791 €
Jõhvi Mihkli Kogudus,vald125,2019,2070,21,11,23,1,1,0,60,202,Viru,154 074 €,8 858 €,11 842 €,3 265 €, 400 €,108 869 €,8 840 €,153 771 €
Jõhvi Mihkli Kogudus,vald126,2020,500,15,5,22,1,1,0,20,152,Viru,144 705 €,9 186 €, 961 €,2 205 €,18 420 €,91 037 €, 0 €,139 656 €
Jüri Kogudus,vald127,2017,800,38,29,19,4,0,0,14,276,Ida-Harju,29 626 €,9 206 €,2 648 €,3 200 €,5 800 €, 0 €, 0 €,48 812 €
